2011-03-14 13:32:02.502958	E002	START_INSTRUCT
2011-03-14 13:32:05.000496	M052	OFF
2011-03-14 13:32:06.829825	M052	ON
2011-03-14 13:32:15.89607	M052	OFF
2011-03-14 13:32:18.665035	M052	ON
2011-03-14 13:32:20.713383	M052	OFF
2011-03-14 13:32:30.653451	M052	ON
2011-03-14 13:32:36.014058	T002	21.5
2011-03-14 13:32:38.926299	M052	OFF
2011-03-14 13:32:40.423489	P001	1137
2011-03-14 13:32:45.158151	M052	ON
2011-03-14 13:32:46.43696	P001	1117
2011-03-14 13:32:47.441819	M052	OFF
2011-03-14 13:32:52.426621	P001	1106
2011-03-14 13:32:55.270443	M052	ON
2011-03-14 13:32:59.966118	E002	STOP_INSTRUCT
2011-03-14 13:33:00.875455	M013	ON
2011-03-14 13:33:01.946515	M052	OFF
2011-03-14 13:33:02.313955	M014	ON
2011-03-14 13:33:06.447478	P001	1089
2011-03-14 13:33:06.60388	M015	ON
2011-03-14 13:33:07.506795	M016	ON
2011-03-14 13:33:07.881316	M013	OFF
2011-03-14 13:33:08.942295	M017	ON
2011-03-14 13:33:09.913907	M014	OFF
2011-03-14 13:33:10.276163	M018	ON
2011-03-14 13:33:10.88346	M016	OFF
2011-03-14 13:33:11.640393	M051	ON	1-begin
2011-03-14 13:33:11.671954	M015	OFF
2011-03-14 13:33:14.005754	M017	OFF
2011-03-14 13:33:14.745552	M018	OFF
2011-03-14 13:33:17.16901	SS002	MOVED	
2011-03-14 13:33:18.673042	M018	ON	
2011-03-14 13:33:20.112267	M017	ON	
2011-03-14 13:33:23.360019	M018	OFF
2011-03-14 13:33:23.865264	M051	OFF
2011-03-14 13:33:24.471429	M017	OFF
2011-03-14 13:33:28.883024	A001	2.80223
2011-03-14 13:33:29.8547	M017	ON	
2011-03-14 13:33:31.344509	A001	2.83395
2011-03-14 13:33:34.730303	M018	ON	
2011-03-14 13:33:35.569246	M051	ON
2011-03-14 13:33:36.456079	P001	1077
2011-03-14 13:33:36.96474	M017	OFF
2011-03-14 13:33:43.865272	M018	OFF
2011-03-14 13:33:47.072085	M018	ON
2011-03-14 13:33:53.480928	M018	OFF
2011-03-14 13:33:53.849425	M018	ON
2011-03-14 13:34:00.247566	M018	OFF
2011-03-14 13:34:07.833562	SS002	STILL
2011-03-14 13:34:10.145926	SS002	MOVED
2011-03-14 13:34:11.715798	M018	ON
2011-03-14 13:34:12.110701	SS002	STILL	
2011-03-14 13:34:12.433535	M017	ON
2011-03-14 13:34:15.413885	M016	ON
2011-03-14 13:34:15.782334	M015	ON
2011-03-14 13:34:16.153426	M018	OFF
2011-03-14 13:34:16.495035	P001	1092
2011-03-14 13:34:16.961205	M014	ON
2011-03-14 13:34:17.333814	M017	OFF
2011-03-14 13:34:17.948257	M051	OFF	1-end
2011-03-14 13:34:19.744963	M016	OFF
2011-03-14 13:34:19.760793	M013	ON
2011-03-14 13:34:20.346973	M015	OFF
2011-03-14 13:34:22.689862	M014	OFF
2011-03-14 13:34:24.748361	M052	ON
2011-03-14 13:34:25.122582	M013	OFF
2011-03-14 13:34:32.807096	M052	OFF
2011-03-14 13:34:35.3124	A001	2.81082
2011-03-14 13:34:40.218886	M014	ON
2011-03-14 13:34:42.674491	A001	2.83442
2011-03-14 13:34:43.754136	E002	START_INSTRUCT
2011-03-14 13:34:44.123176	M009	ON
2011-03-14 13:34:45.111546	M008	ON
2011-03-14 13:34:45.159394	M014	OFF
